Standard,TMP,NTC
48.8,43.31,46.99
48.8,43.31,46.94
48.8,43.31,46.99
48.8,43.31,46.99
48.8,43.31,46.94
48.8,43.31,46.99
48.8,43.31,46.99
48.8,43.31,47.01
48.8,43.31,46.97
48.9,43.31,46.99
48.9,43.31,46.99
48.9,43.31,47.01
48.9,43.38,46.97
48.9,43.38,46.97
48.9,43.38,46.97
48.9,43.31,46.99
48.8,43.31,46.94
48.8,43.31,47.01
48.8,43.31,46.97
48.8,43.19,47.01
48.8,43.19,46.97
48.8,43.25,46.99
48.8,43.25,46.99
48.8,43.25,46.99
48.8,43.25,46.94
48.8,43.25,47.01
48.8,43.25,46.97
48.8,43.19,46.99
48.8,43.19,46.97
48.8,43.19,46.97
48.8,43.19,46.92
48.8,43.19,46.94
48.8,43.25,46.99
48.8,43.25,46.97
48.8,43.25,46.94
48.8,43.25,46.99
48.8,43.31,46.97
48.8,43.25,46.99
48.8,43.25,46.94
48.8,43.25,46.97
48.8,43.25,46.99
48.8,43.25,46.94
48.7,43.25,46.99
48.7,43.25,46.94
48.8,43.25,46.94
48.8,43.25,46.99
48.7,43.25,46.89
48.7,43.25,46.94
48.7,43.31,46.99
48.7,43.31,46.94
48.7,43.31,46.97
48.7,43.31,46.94
48.7,43.31,46.97
48.7,43.31,46.99
48.7,43.31,46.97
48.7,43.31,47.04
48.7,43.31,46.99
48.7,43.31,47.01
48.7,43.31,46.99
48.7,43.31,46.99
48.7,43.31,46.99
48.7,43.31,46.99
48.7,43.31,46.99
48.7,43.31,46.99
48.7,43.31,47.04
48.7,43.31,47.01
48.7,43.31,47.04
48.7,43.25,46.97
48.7,43.25,46.99
48.8,43.25,47.04
48.8,43.25,46.99
48.8,43.25,47.01
48.8,43.13,46.99
48.8,43.13,46.97
48.8,43.19,46.99
48.8,43.25,47.01
48.8,43.25,46.99
48.8,43.31,46.99
48.8,43.13,47.04
48.7,43.19,46.99
48.7,43.19,47.01
48.7,43.19,47.01
48.7,43.19,46.99
48.7,43.19,47.04
48.7,43.19,46.99
48.7,43.19,47.04
48.7,43.19,46.99
48.7,43.25,47.04
48.8,43.25,47.04
48.8,43.25,47.01
48.8,43.19,46.99
48.8,43.13,47.01
48.8,43.13,46.99
48.8,43.13,47.01
48.8,43.19,46.99
48.7,43.19,46.99
48.7,43.13,47.01
48.7,43.13,47.01
48.7,43.19,47.01
48.7,43.13,47.01
48.7,43.06,47.01
48.7,42.94,47.01
48.7,42.81,46.99
48.7,42.81,46.99
48.7,42.75,47.01
48.7,42.69,46.97
48.6,42.69,46.99
48.6,42.63,47.04
48.6,42.56,46.99
48.6,42.63,46.99
48.6,42.63,46.99
48.7,42.56,46.97
48.7,42.50,46.99
48.7,42.50,46.97
48.7,42.69,46.99
48.7,42.75,47.06
48.7,42.69,46.99
48.7,42.69,46.99
48.7,42.69,46.97
48.7,42.69,47.01
48.7,42.75,46.97
48.7,42.88,47.01
48.8,43.00,46.99
48.8,43.06,47.01
48.8,43.06,47.01
48.8,43.06,47.04
48.8,43.06,47.06
48.8,43.06,47.04
48.8,42.94,47.04
48.7,42.88,47.04
48.7,42.88,47.06
48.7,43.00,47.04
48.7,43.00,47.01
48.7,43.06,47.09
48.6,43.06,47.04
48.6,43.13,47.04
48.6,43.13,47.06
48.6,43.19,47.06
48.6,43.19,47.04
48.6,43.19,47.09
48.6,43.19,47.06
48.6,43.19,47.09
48.6,43.25,47.06
48.6,43.19,47.09
48.6,43.13,47.11
48.6,43.13,47.09
48.6,43.19,47.14
48.6,43.19,47.06
48.6,43.19,47.09
48.6,43.19,47.01
48.6,43.19,47.06
48.6,43.19,47.09
48.6,43.25,47.09
48.6,43.25,47.09
48.7,43.25,47.09
48.7,43.25,47.11
48.7,43.25,47.09
48.7,43.25,47.09
48.7,43.25,47.11
48.7,43.19,47.11
48.7,43.25,47.11
48.7,43.25,47.09
48.7,43.25,47.14
48.7,43.25,47.11
48.8,43.25,47.16
48.8,43.25,47.14
48.8,43.25,47.14
48.8,43.31,47.11
48.8,43.31,47.11
48.8,43.31,47.11
48.8,43.31,47.11
48.8,43.31,47.11
48.8,43.31,47.16
48.8,43.31,47.14
48.8,43.31,47.16
48.8,43.31,47.11
48.8,43.31,47.11
48.8,43.31,47.11
48.8,43.25,47.11
48.8,43.31,47.18
48.8,43.31,47.14
48.8,43.25,47.14
48.8,43.25,47.16
48.8,43.31,47.14
48.8,43.13,47.18
48.8,43.19,47.14
48.8,43.25,47.18
48.8,43.31,47.14
48.8,43.31,47.11
48.8,43.31,47.16
48.8,43.31,47.14
48.8,43.31,47.11
48.8,43.38,47.18
48.8,43.31,47.16
48.8,43.38,47.16
48.8,43.38,47.16
48.8,43.31,47.14
48.8,43.38,47.14
48.9,43.38,47.16
48.9,43.31,47.18
48.9,43.31,47.16
48.9,43.31,47.16
48.9,43.31,47.16
48.9,43.31,47.18
48.9,43.38,47.14
48.9,43.31,47.18
48.9,43.31,47.14
48.8,43.38,47.16
48.8,43.31,47.21
48.8,43.38,47.14
48.8,43.38,47.16
48.8,43.38,47.16
48.8,43.38,47.16
48.8,43.38,47.16
48.7,43.38,47.16
48.7,43.38,47.14
48.7,43.38,47.16
48.7,43.31,47.18
48.7,43.38,47.18
48.7,43.31,47.16
48.7,43.31,47.16
48.8,43.31,47.16
48.8,43.19,47.16
48.8,43.13,47.21
48.8,43.06,47.16
48.8,43.00,47.18
48.8,43.00,47.16
48.8,43.00,47.16
48.8,42.94,47.14
48.8,42.88,47.14
48.8
