Standard,TMP_Mean,TMP_Variance,TMP_Error,TMP_Accuracy,TMP_DNL,TMP_INL,NTC_Mean,NTC_Variance,NTC_Error,NTC_Accuracy,NTC_DNL,NTC_INL
32.8,32.222,0.002,-0.578,98.238,0.112,0.087,32.878,0.002,0.078,99.763,0.1,0.1
32.9,32.338,0.006,-0.562,98.29,0.171,0.171,32.975,0.002,0.075,99.772,0.114,0.086
33.0,32.44,0.003,-0.56,98.303,0.111,0.089,33.07,0.002,0.07,99.788,0.111,0.089
33.1,32.56,0.003,-0.54,98.369,0.111,0.089,33.16,0.003,0.06,99.819,0.111,0.089
33.2,32.644,0.003,-0.556,98.327,0.113,0.088,33.289,0.001,0.089,99.732,0.1,0.1
33.3,32.712,0.001,-0.587,98.236,0.086,0.086,33.375,0.002,0.075,99.775,0.1,0.1
33.4,32.81,0.001,-0.59,98.234,0.1,0.1,33.48,0.002,0.08,99.76,0.111,0.089
33.5,32.92,0.002,-0.58,98.269,0.1,0.1,33.6,0.002,0.1,99.701,0.189,0.189
33.6,33.033,0.003,-0.567,98.313,0.1,0.1,33.711,0.001,0.111,99.669,0.1,0.1
33.7,33.12,0.002,-0.58,98.279,0.1,0.1,33.8,0.0,0.1,99.703,0.0,0.0
33.8,33.2,0.0,-0.6,98.225,0.0,0.0,33.89,0.001,0.09,99.734,0.1,0.1
33.9,33.37,0.002,-0.53,98.437,0.1,0.1,34.0,0.0,0.1,99.705,0.0,0.0
34.0,33.44,0.003,-0.56,98.353,0.1,0.1,34.11,0.001,0.11,99.676,0.1,0.1
34.1,33.59,0.001,-0.51,98.504,0.1,0.1,34.24,0.003,0.14,99.589,0.111,0.089
34.2,33.678,0.002,-0.522,98.473,0.088,0.075,34.356,0.003,0.156,99.545,0.113,0.075
34.3,33.729,0.002,-0.571,98.334,0.117,0.083,34.457,0.003,0.157,99.542,0.117,0.083
34.4,33.844,0.003,-0.556,98.385,0.113,0.088,34.533,0.003,0.133,99.612,0.1,0.1
34.5,33.93,0.002,-0.57,98.348,0.1,0.1,34.61,0.001,0.11,99.681,0.1,0.1
34.6,34.056,0.003,-0.544,98.426,0.1,0.1,34.733,0.002,0.133,99.615,0.112,0.087
34.7,34.13,0.002,-0.57,98.357,0.111,0.089,34.83,0.002,0.13,99.625,0.111,0.089
34.8,34.2,0.0,-0.6,98.276,0.0,0.0,34.9,0.0,0.1,99.713,0.0,0.0
34.9,34.31,0.001,-0.59,98.309,0.1,0.1,35.0,0.0,0.1,99.713,0.0,0.0
35.0,34.4,0.0,-0.6,98.286,0.0,0.0,35.11,0.001,0.11,99.686,0.089,0.089
35.1,34.57,0.002,-0.53,98.49,0.1,0.1,35.25,0.003,0.15,99.573,0.111,0.089
35.2,34.62,0.002,-0.58,98.352,0.1,0.1,35.35,0.003,0.15,99.574,0.111,0.089
35.3,34.7,0.0,-0.6,98.3,0.0,0.0,35.444,0.003,0.144,99.591,0.113,0.088
35.4,34.84,0.003,-0.56,98.418,0.1,0.1,35.54,0.003,0.14,99.605,0.111,0.089
35.5,34.933,0.003,-0.567,98.404,0.113,0.088,35.644,0.003,0.144,99.593,0.1,0.1
35.6,35.067,0.003,-0.533,98.502,0.1,0.1,35.756,0.003,0.156,99.563,0.112,0.087
35.7,35.14,0.003,-0.56,98.431,0.111,0.089,35.86,0.003,0.16,99.552,0.111,0.089
35.8,35.212,0.001,-0.587,98.359,0.1,0.1,35.95,0.003,0.15,99.581,0.114,0.086
35.9,35.322,0.002,-0.578,98.391,0.113,0.088,36.044,0.003,0.144,99.598,0.113,0.088
36.0,35.41,0.001,-0.59,98.361,0.089,0.089,36.13,0.002,0.13,99.639,0.111,0.089
36.1,35.54,0.003,-0.56,98.449,0.111,0.089,36.24,0.003,0.14,99.612,0.111,0.089
36.2,35.611,0.001,-0.589,98.373,0.1,0.1,36.344,0.003,0.144,99.601,0.113,0.088
36.3,35.7,0.0,-0.6,98.347,0.0,0.0,36.44,0.003,0.14,99.614,0.1,0.1
36.4,35.85,0.003,-0.55,98.489,0.1,0.1,36.55,0.003,0.15,99.588,0.1,0.1
36.5,35.912,0.001,-0.588,98.39,0.1,0.1,36.688,0.001,0.188,99.486,0.086,0.086
36.6,36.04,0.003,-0.56,98.47,0.1,0.1,36.76,0.003,0.16,99.563,0.111,0.089
36.7,36.13,0.002,-0.57,98.447,0.1,0.1,36.89,0.001,0.19,99.482,0.1,0.1
36.8,36.211,0.001,-0.589,98.4,0.1,0.1,36.956,0.003,0.156,99.577,0.1,0.1
36.9,36.338,0.003,-0.563,98.476,0.1,0.1,37.062,0.003,0.163,99.56,0.114,0.086
37.0,36.4,0.0,-0.6,98.378,0.0,0.0,37.167,0.003,0.167,99.55,0.1,0.1
37.1,36.54,0.003,-0.56,98.491,0.111,0.067,37.26,0.003,0.16,99.569,0.1,0.1
37.2,36.63,0.002,-0.57,98.468,0.111,0.089,37.38,0.002,0.18,99.516,0.1,0.1
37.3,36.7,0.0,-0.6,98.391,0.0,0.0,37.5,0.0,0.2,99.464,0.0,0.0
37.4,36.822,0.004,-0.578,98.455,0.113,0.137,37.578,0.002,0.178,99.525,0.1,0.1
37.5,36.92,0.002,-0.58,98.453,0.1,0.1,37.66,0.003,0.16,99.573,0.111,0.089
37.6,37.033,0.003,-0.567,98.493,0.113,0.075,37.767,0.002,0.167,99.557,0.112,0.075
37.7,37.13,0.002,-0.57,98.488,0.111,0.078,37.87,0.002,0.17,99.549,0.111,0.078
37.8,37.2,0.0,-0.6,98.413,0.0,0.0,37.986,0.001,0.186,99.509,0.1,0.1
37.9,37.3,0.002,-0.6,98.417,0.1,0.1,38.07,0.002,0.17,99.551,0.111,0.078
38.0,37.411,0.001,-0.589,98.45,0.1,0.1,38.167,0.003,0.167,99.561,0.113,0.075
38.1,37.53,0.002,-0.57,98.504,0.1,0.1,38.29,0.001,0.19,99.501,0.089,0.089
38.2,37.62,0.002,-0.58,98.482,0.1,0.1,38.39,0.001,0.19,99.503,0.089,0.089
38.3,37.7,0.0,-0.6,98.433,0.0,0.0,38.489,0.001,0.189,99.507,0.088,0.088
38.4,37.82,0.004,-0.58,98.49,0.211,0.144,38.59,0.001,0.19,99.505,0.1,0.1
38.5,37.92,0.002,-0.58,98.494,0.1,0.1,38.69,0.001,0.19,99.506,0.1,0.1
38.6,38.05,0.003,-0.55,98.575,0.1,0.1,38.788,0.001,0.187,99.514,0.1,0.1
38.7,38.122,0.002,-0.578,98.507,0.1,0.1,38.878,0.002,0.178,99.541,0.113,0.088
38.8,38.2,0.0,-0.6,98.454,0.0,0.0,38.989,0.001,0.189,99.513,0.1,0.1
38.9,38.33,0.002,-0.57,98.535,0.111,0.078,39.1,0.0,0.2,99.486,0.0,0.0
39.0,38.43,0.002,-0.57,98.538,0.111,0.078,39.19,0.001,0.19,99.513,0.1,0.1
39.1,38.556,0.003,-0.544,98.608,0.1,0.1,39.3,0.0,0.2,99.488,0.0,0.0
39.2,38.625,0.002,-0.575,98.533,0.114,0.086,39.387,0.001,0.187,99.522,0.086,0.086
39.3,38.7,0.0,-0.6,98.473,0.0,0.0,39.456,0.003,0.156,99.604,0.113,0.075
39.4,38.79,0.001,-0.61,98.452,0.1,0.1,39.57,0.002,0.17,99.569,0.111,0.078
39.5,38.9,0.0,-0.6,98.481,0.0,0.0,39.68,0.002,0.18,99.544,0.1,0.1
39.6,39.05,0.003,-0.55,98.611,0.1,0.1,39.79,0.001,0.19,99.52,0.1,0.1
39.7,39.111,0.001,-0.589,98.517,0.088,0.088,39.889,0.001,0.189,99.524,0.1,0.1
39.8,39.2,0.0,-0.6,98.492,0.0,0.0,39.97,0.002,0.17,99.573,0.1,0.1
39.9,39.338,0.003,-0.563,98.59,0.114,0.086,40.088,0.001,0.188,99.53,0.086,0.086
40.0,39.42,0.002,-0.58,98.55,0.1,0.1,40.17,0.002,0.17,99.575,0.111,0.078
40.1,39.556,0.003,-0.544,98.642,0.088,0.05,40.278,0.002,0.178,99.557,0.1,0.1
40.2,39.64,0.003,-0.56,98.607,0.111,0.067,40.39,0.003,0.19,99.527,0.1,0.1
40.3,39.7,0.0,-0.6,98.511,0.0,0.0,40.5,0.0,0.2,99.504,0.0,0.0
40.4,39.825,0.002,-0.575,98.577,0.1,0.1,40.588,0.001,0.188,99.536,0.086,0.086
40.5,39.9,0.0,-0.6,98.519,0.0,0.0,40.678,0.002,0.178,99.561,0.1,0.1
40.6,40.0,0.0,-0.6,98.522,0.0,0.0,40.767,0.002,0.167,99.589,0.1,0.1
40.7,40.1,0.0,-0.6,98.526,0.0,0.0,40.87,0.002,0.17,99.582,0.1,0.1
40.8,40.2,0.0,-0.6,98.529,0.0,0.0,40.97,0.002,0.17,99.583,0.1,0.1
40.9,40.322,0.004,-0.578,98.587,0.2,0.2,41.078,0.002,0.178,99.565,0.1,0.1
41.0,40.433,0.003,-0.567,98.618,0.113,0.088,41.167,0.003,0.167,99.593,0.113,0.088
41.1,40.544,0.003,-0.556,98.648,0.113,0.088,41.278,0.002,0.178,99.567,0.112,0.087
